date	AAPL US Equity	FB US Equity	IBM US Equity	C US Equity	ORCL US Equity	KO US Equity	T US Equity	BAC US Equity	AMZN US Equity	JPM US Equity	PG US Equity	CVX US Equity	WMT US Equity	WFC US Equity	GE US Equity	BRK/A US Equity	CSCO US Equity	MSFT US Equity	GOOG US Equity	XOM US Equity	Merck & co 
20020331	8381191680		1.78036E+11	2.55789E+11	91249451008	1.29792E+11	1.25056E+11	1.05058E+11	5364058624	70949421056	1.17082E+11	96360333312	2.67091E+11	84401725440	3.71982E+11	1.15884E+11	1.40319E+11	3.26579E+11		2.97255E+11	1.30627E+11
20020630	6358910976		1.21991E+11	1.98325E+11	43013521408	1.39048E+11	1.01415E+11	1.06642E+11	6179939840	67615043584	1.16161E+11	94524456960	2.48468E+11	85583773696	2.89032E+11	1.09028E+11	1.01835E+11	2.93137E+11		2.76496E+11	1.14218E+11
20020930	5283876864		98549030912	1.50088E+11	51364040704	1.18937E+11	66736091136	95837937664	6072771072	37901418496	1.16131E+11	73969868800	2.17506E+11	81798799360	2.45294E+11	1.02518E+11	86321463296	2.33834E+11		2.14655E+11	1.02677E+11
20021231	5065213440		1.33483E+11	1.80901E+11	64018350080	1.08328E+11	89950978048	1.04403E+11	7327544320	47968944128	1.11112E+11	71009746944	2.36367E+11	79018434560	2.42767E+11	1.13393E+11	85204738048	2.76647E+11		2.34098E+11	1.27088E+11
20030331	5325990912		1.35527E+11	1.7735E+11	62694318080	99714056192	66647453696	1.00095E+11	10193582080	48132202496	1.15293E+11	69067857920	2.10081E+11	75354923008	2.54856E+11	1.11633E+11	99099000832	2.5958E+11		2.33445E+11	1.22878E+11
20030630	6873779200		1.4274E+11	2.20456E+11	68081328128	1.14188E+11	84917583872	1.18254E+11	14409234432	69560131584	1.15684E+11	77165125632	2.46621E+11	84590788608	2.87341E+11	98007212032	1.00638E+11	2.76168E+11		2.38873E+11	1.35657E+11
20030930	7587581440		1.51965E+11	2.34771E+11	67023921152	1.05312E+11	73662398464	1.16236E+11	19392438272	70004703232	1.2036E+11	76377120768	2.44282E+11	86368952320	2.99318E+11	1.11411E+11	1.33522E+11	3.00379E+11		2.41889E+11	1.12978E+11
20031231	7662853120		1.57047E+11	2.50316E+11	62816518144	1.23908E+11	86167502848	1.15911E+11	21224486912	75025432576	1.29085E+11	92363694080	2.55123E+11	1.00002E+11	3.11755E+11	1.15156E+11	1.36877E+11	2.95295E+11		2.69288E+11	1.02645E+11
20040331	10081999872		1.54784E+11	2.67366E+11	66859651072	1.22393E+11	81273487360	1.17056E+11	17523812352	87326728192	1.34802E+11	93929250816	2.32147E+11	96179265536	3.11689E+11	1.29461E+11	1.88085E+11	2.68671E+11		2.72E+11	98215370752
20040630	12980969472		1.47668E+11	2.40882E+11	58949398528	1.22451E+11	80355770368	1.71891E+11	22125078528	80932569088	1.38484E+11	1.00234E+11	2.43358E+11	96602529792	3.42086E+11	1.43495E+11	1.41979E+11	3.10219E+11		2.8891E+11	1.05455E+11
20040930	14596946944		1.42731E+11	2.28972E+11	51126161408	96768008192	86034890752	1.75446E+11	16648978432	1.41601E+11	1.61094E+11	1.13642E+11	2.24895E+11	1.00795E+11	3.55011E+11	1.36716E+11	1.40896E+11	3.00417E+11	35434704896	3.11791E+11	73159352320
20041231	25895182336		1.62223E+11	2.50278E+11	65024958464	1.00311E+11	85064507392	1.90147E+11	18146099200	1.38727E+11	1.38945E+11	1.10645E+11	2.28344E+11	1.05319E+11	3.86402E+11	1.33132E+11	1.26613E+11	2.90714E+11	53470158848	3.28115E+11	70985654272
20050331	34983313408		1.47425E+11	2.33786E+11	66511200256	1.00382E+11	78295449600	1.77958E+11	14084970496	1.21975E+11	1.32203E+11	1.22347E+11	2.21862E+11	1.01201E+11	3.82449E+11	1.35165E+11	1.1601E+11	2.61133E+11	50141495296	3.79398E+11	71388921856
20050630	31264569344		1.18408E+11	2.39013E+11	65856000000	1.00382E+11	78517501952	1.83202E+11	13633080320	1.24112E+11	1.30447E+11	1.16535E+11	1.9714E+11	1.03877E+11	3.67318E+11	1.33588E+11	1.10701E+11	2.66036E+11	82139693056	3.62356E+11	67700105216
20050930	44423028736		1.26709E+11	2.30285E+11	66885509120	1.02683E+11	78813356032	1.6895E+11	18754199552	1.18871E+11	1.41376E+11	1.45318E+11	2.05429E+11	98349006848	3.55763E+11	1.28577E+11	1.21239E+11	2.73896E+11	93529161728	3.95371E+11	59581079552
20051231	60791418880		1.29381E+11	2.4169E+11	64940400640	95494389760	94944894976	1.84586E+11	19614400512	1.38387E+11	1.90374E+11	1.2675E+11	1.96975E+11	1.05403E+11	3.67474E+11	1.26272E+11	1.0548E+11	2.71542E+11	1.23312E+11	3.44491E+11	69406998528
20060331	60791418880		1.27861E+11	2.34792E+11	65975037952	98687590400	1.0513E+11	2.08633E+11	15233009664	1.44614E+11	1.89111E+11	1.28493E+11	1.92048E+11	1.07226E+11	3.61656E+11	1.36514E+11	1.15535E+11	2.78222E+11	1.18203E+11	3.68203E+11	76965560320
20060630	53261082624		1.16908E+11	2.38545E+11	74399039488	1.00753E+11	1.08325E+11	2.17794E+11	16206919680	1.45764E+11	1.76744E+11	1.36407E+11	1.87675E+11	1.12754E+11	3.40258E+11	1.39256E+11	1.29136E+11	2.34445E+11	1.27628E+11	3.64726E+11	79339094016
20060930	65838112768		1.2343E+11	2.44062E+11	81197096960	1.04641E+11	1.25454E+11	2.40966E+11	13201319936	1.62835E+11	1.96399E+11	1.41394E+11	1.85522E+11	1.22024E+11	3.63876E+11	1.41316E+11	1.09547E+11	2.68577E+11	1.22282E+11	3.91327E+11	91030233088
20061231	72981053440		1.46355E+11	2.73598E+11	98640896000	1.11844E+11	2.23035E+11	2.38021E+11	16336440320	1.67199E+11	2.02797E+11	1.5916E+11	2.054E+11	1.20078E+11	3.82421E+11	1.47523E+11	1.43791E+11	2.91941E+11	1.42287E+11	4.39013E+11	94515445760
20070331	80338632704		1.3996E+11	2.5395E+11	84384481280	1.10688E+11	2.43875E+11	2.26481E+11	16274110464	1.6528E+11	1.98886E+11	1.58958E+11	1.97007E+11	1.15358E+11	3.63789E+11	1.69672E+11	1.59365E+11	2.66772E+11	1.42739E+11	4.2501E+11	95608389632
20070630	1.06073E+11		1.43183E+11	2.55145E+11	98973663232	1.20888E+11	2.53107E+11	2.16922E+11	28253329408	1.64659E+11	1.91644E+11	1.82342E+11	1.96893E+11	1.18249E+11	3.92224E+11	1.68263E+11	1.6364E+11	2.76429E+11	1.62702E+11	4.65198E+11	1.07956E+11
20070930	1.33876E+11		1.62323E+11	2.3247E+11	1.03773E+11	1.32641E+11	2.56906E+11	2.23041E+11	38657249280	1.53901E+11	2.18451E+11	1.97589E+11	1.86935E+11	1.18445E+11	4.18397E+11	1.68783E+11	1.76716E+11	2.75598E+11	1.76963E+11	5.05655E+11	1.12507E+11
20071231	1.75576E+11		1.49744E+11	1.4704E+11	1.03483E+11	1.42256E+11	2.5117E+11	1.83107E+11	39927840768	1.46986E+11	2.2595E+11	1.951E+11	1.81057E+11	99512352768	3.7024E+11	1.83415E+11	1.94016E+11	3.32112E+11	2.16376E+11	5.0424E+11	1.26244E+11
20080331	1.26053E+11		1.58142E+11	1.12451E+11	96801202176	1.41381E+11	2.27464E+11	1.68806E+11	29732100096	1.46066E+11	2.13945E+11	1.78439E+11	2.0159E+11	96098394112	3.68893E+11	2.19377E+11	1.44595E+11	2.64218E+11	1.38186E+11	4.46836E+11	81460740096
20080630	1.50657E+11		1.60589E+11	91264786432	1.17626E+11	1.1975E+11	1.98535E+11	1.06292E+11	31238580224	1.17881E+11	1.8442E+11	2.0366E+11	2.28657E+11	78659067904	2.65513E+11	2.06983E+11	1.51347E+11	2.51744E+11	1.65429E+11	4.57747E+11	80749846528
20080930	1.13919E+11		1.57131E+11	1.1177E+11	1.13027E+11	1.21334E+11	1.64533E+11	1.59672E+11	31214039040	1.74048E+11	2.08074E+11	1.67582E+11	2.3061E+11	1.24645E+11	2.53864E+11	1.86883E+11	1.3218E+11	2.39596E+11	1.25998E+11	3.95056E+11	66723713024
20081231	76406505472		1.12698E+11	36569956352	81190141952	1.04664E+11	1.67951E+11	70645489664	21947840512	1.17695E+11	1.81184E+11	1.48253E+11	2.18918E+11	1.2466E+11	1.70698E+11	2.02933E+11	95641837568	1.72802E+11	96944824320	3.97234E+11	64073785344
20090331	95300780032		1.2803E+11	13947507712	77435822080	1.04664E+11	1.4868E+11	43654479872	31505760256	99880517632	1.37253E+11	1.34794E+11	1.84946E+11	60682289152	1.07061E+11	1.49568E+11	92861161472	1.63456E+11	1.09679E+11	3.32328E+11	56406904832
20090630	1.27589E+11		1.36882E+11	16357919744	98047950848	1.03971E+11	1.46556E+11	1.14199E+11	36141121536	1.33852E+11	1.4906E+11	1.32865E+11	1.9639E+11	1.13249E+11	1.24547E+11	1.33496E+11	1.0632E+11	2.11743E+11	1.334E+11	3.35987E+11	58963853312
20090930	1.64098E+11		1.5712E+11	1.10662E+11	1.09663E+11	1.13157E+11	1.59386E+11	1.46363E+11	40424878080	1.72596E+11	1.69227E+11	1.41158E+11	1.92379E+11	1.3186E+11	1.74832E+11	1.38109E+11	1.26576E+11	2.28908E+11	1.57152E+11	3.25692E+11	66713305088
20091231	1.89449E+11		1.70869E+11	94279614464	1.10599E+11	1.31271E+11	1.65431E+11	1.30273E+11	59726880768	1.64261E+11	1.76105E+11	1.54575E+11	1.89289E+11	1.39771E+11	1.61332E+11	1.56725E+11	1.39002E+11	2.68559E+11	1.97012E+11	3.22334E+11	1.13574E+11
20100331	2.10035E+11		1.64461E+11	1.15912E+11	1.2362E+11	1.31271E+11	1.52689E+11	1.79071E+11	60553420800	1.77897E+11	1.82212E+11	1.52315E+11	2.02286E+11	1.62002E+11	1.94313E+11	1.53876E+11	1.3171E+11	2.56617E+11	1.80883E+11	3.14672E+11	1.16444E+11
20100630	2.43626E+11		1.55743E+11	1.08948E+11	1.13437E+11	1.27522E+11	1.4294E+11	1.44174E+11	48948477952	1.45554E+11	1.70551E+11	1.36439E+11	2.00399E+11	1.33924E+11	1.54167E+11	2.00685E+11	1.54093E+11	1.99451E+11	1.41766E+11	2.906E+11	1.07753E+11
20100930	2.67756E+11		1.6665E+11	1.13584E+11	1.09771E+11	1.15465E+11	1.69022E+11	1.31467E+11	70519939072	1.49418E+11	1.67868E+11	1.63107E+11	1.87099E+11	1.31713E+11	1.73139E+11	1.97685E+11	1.30461E+11	2.09683E+11	1.6785E+11	3.11607E+11	1.13372E+11
20101231	2.98047E+11		1.8022E+11	1.37446E+11	1.36604E+11	1.50745E+11	1.73668E+11	1.34536E+11	81180000256	1.65875E+11	1.80174E+11	1.83183E+11	1.94091E+11	1.63078E+11	1.94155E+11	2.0517E+11	1.2749E+11	2.34528E+11	1.90843E+11	3.64064E+11	1.11079E+11
20110331	3.2506E+11		1.9751E+11	1.29092E+11	1.66507E+11	1.50745E+11	1.81158E+11	1.35057E+11	81418756096	1.83783E+11	2.4688E+11	2.16084E+11	1.97142E+11	1.68091E+11	2.12639E+11	1.98316E+11	1.15806E+11	2.14063E+11	1.89011E+11	4.14424E+11	1.01845E+11
20110630	3.02495E+11		2.04878E+11	1.21503E+11	1.73427E+11	1.53732E+11	1.86105E+11	1.1106E+11	92838461440	1.60083E+11	1.75818E+11	2.05987E+11	1.91275E+11	1.48105E+11	1.99922E+11	2.06682E+11	96377520128	2.17776E+11	1.63393E+11	3.9567E+11	1.088E+11
20110930	3.75707E+11		2.06105E+11	74890780672	1.41782E+11	1.53429E+11	1.69001E+11	62022721536	98384650240	1.14422E+11	2.53219E+11	1.84392E+11	1.82482E+11	1.27166E+11	1.60683E+11	1.91707E+11	86796951552	2.09325E+11	1.66748E+11	3.48116E+11	99798687744
20111231	3.77547E+11		2.13886E+11	76927229952	1.57753E+11	1.58342E+11	1.68781E+11	58579816448	78760501248	1.25442E+11	2.67387E+11	2.10796E+11	1.94947E+11	1.45038E+11	1.89363E+11	1.76172E+11	99685761024	2.17597E+11	2.0985E+11	4.01254E+11	1.1464E+11
20120331	5.60568E+11		2.40675E+11	1.0717E+11	1.45661E+11	1.67041E+11	1.83467E+11	1.03123E+11	91129503744	1.75737E+11	1.84163E+11	2.11544E+11	2.09728E+11	1.80993E+11	2.12487E+11	1.89221E+11	1.05194E+11	2.70942E+11	2.08984E+11	4.05549E+11	1.16812E+11
20120630	5.47363E+11	66605490176	2.23504E+11	80379355136	1.29835E+11	1.76006E+11	2.06997E+11	88154791936	1.03214E+11	1.35661E+11	1.68317E+11	2.07006E+11	1.99999E+11	1.76421E+11	2.20046E+11	2.01155E+11	1.07552E+11	2.56375E+11	1.89702E+11	3.94991E+11	1.26874E+11
20120930	6.2655E+11	46915559424	2.34404E+11	95952084992	1.52901E+11	1.70154E+11	2.15156E+11	95163269120	1.15207E+11	1.53806E+11	1.89646E+11	2.28129E+11	2.50978E+11	1.82651E+11	2.38144E+11	2.06399E+11	83125616640	2.50639E+11	2.47892E+11	4.16921E+11	1.37287E+11
20121231	4.7849E+11	63141904384	2.14032E+11	1.19823E+11	1.52767E+11	1.62001E+11	1.88149E+11	1.25136E+11	1.13895E+11	1.67256E+11	1.85452E+11	2.10516E+11	2.51917E+11	1.80003E+11	2.18414E+11	2.19272E+11	91827191808	2.23667E+11	2.33421E+11	3.89648E+11	1.2391E+11
20130331	4.16142E+11	61673381888	2.36506E+11	1.34617E+11	1.61579E+11	1.79877E+11	1.98963E+11	1.31817E+11	1.21253E+11	1.79863E+11	2.11204E+11	2.31307E+11	2.31814E+11	1.95632E+11	2.39064E+11	2.20253E+11	1.12581E+11	2.38823E+11	2.62065E+11	4.00629E+11	1.33368E+11
20130630	3.60225E+11	60483280896	2.09347E+11	1.45878E+11	1.56942E+11	1.77848E+11	1.88867E+11	1.38156E+11	1.26904E+11	1.98966E+11	2.11132E+11	2.30372E+11	2.55466E+11	2.1882E+11	2.36162E+11	2.5683E+11	1.09861E+11	2.87691E+11	2.93281E+11	3.97721E+11	1.35935E+11
20130930	4.34095E+11	1.23214E+11	2.01079E+11	1.47131E+11	1.45568E+11	1.69574E+11	1.78578E+11	1.47429E+11	1.43189E+11	1.94312E+11	2.05471E+11	2.33666E+11	2.54552E+11	2.17911E+11	2.41704E+11	2.77135E+11	1.37398E+11	2.77755E+11	2.92691E+11	3.75909E+11	1.39333E+11
